1- O que é pentateuco?	1- it-3 p. 223 / Pentateuco: Esta forma aportuguesada da palavra grega (que significa “cinco rolos” ou “volume quíntuplo”) refere-se aos primeiros cinco livros da Bíblia: Gênesis, Êxodo, Levítico, Números e Deuteronômio.
69- No dia 24 DE SETEMBRO DE 1994 - Sem realizar julgamento, autoridades prendem Paulos Eyassu, Isaac Mogos e Negede Teklemariam; eles ainda estão na prisão. Em qual país isso aconteceu?	69- https://www.jw.org/pt/noticias/casos-juridicos/por-regiao/eritreia/   - Eritréia
70- Olha a pegadinha - Na manhã de quarta-feira, 24 de janeiro de 2018, foi anunciado às famílias dos Betéis dos Estados Unidos e do Canadá o novo membro do Corpo Governante. Qual é o seu nome? (A) Guy Pierce (B) Kenneth Cook (C) Stephen Lett 	70- https://www.jw.org/pt/noticias/jw-noticias/por-regiao/mundial/kenneth-cook-corpo-governante/ - Kenneth Cook
71 - Um pequeno grupo de pessoas que procuravam a verdade percebeu que muitas doutrinas das igrejas não eram bíblicas. Em que ano isso aconteceu? (a) 1870 (b) 1880 (c) 1914 (d)1930  (e) NDA	71- Brochura “Quem está fazendo a vontade de Jeová” Lição 3 parágrafo 2 – 1870
72- Em 1950 as Testemunhas de Jeová começam a publicar partes de nossa Bíblia que usa a linguagem moderna. Qual é o seu nome?	72- Brochura “Quem está fazendo a vontade de Jeová” Lição 4 parágrafo 1 - Tradução do Novo Mundo
73- Em quanto tempo o orador deve proferir seu discurso público na reunião de final de semana?	73- Brochura “Quem está fazendo a vontade de Jeová” Lição 7 parágrafo 2 – 30 minutos
74 - A nossa reunião de meio de semana possuí 3 partes. Quais os nomes dessas?	74- Brochura “Quem está fazendo a vontade de Jeová” Lição 7 parágrafo 3 –  1º Tesouros da Palavra de Deus, 2º Faça Seu Melhor no Ministério e 3º Nossa Vida Cristã.
75- Depois da morte de Sara, Abraão se casou novamente. Qual o nome de sua nova esposa?	75- Genesis 25:1 – Quetura
76 - Esaú trocou a sua primogenitura pelo ensopado de lentilhas e mais o quê? (A) Bolo Redondo (B) Cabrito Cozido (C) Pão (D) Frutas Frescas (E) NDA	76- Gênesis 25:34 – Pão
77- Qual é o requisito de horas mensais para o pioneiro especial? (A) 90 Horas (B) 100 (C) 130 Horas (D) 150 Horas (E) NDA	77- Brochura “Quem está fazendo a vontade de Jeová” Lição 13 Parágrafo 2 – 130 Horas
78- Responda como está no relato bíblico. O que Jesus utilizou para curar um cego de nascença? (A) Água e Óleo Perfumado (B) Vinho e Argila (C) Saliva e Lama (D) Espírito Santo (E) NDA	78- João 9:6 - Saliva e Lama
79- Muitas Testemunhas de Jeová que se tornam missionários fazem um curso de 5 meses em Patterson, Nova York. Qual é o nome desta escola?	79- Brochura “Quem está fazendo a vontade de Jeová” Lição 14 Parágrafo 14 – Escola Bíblica de Gileade da Torre de Vigia, ou Escola de Gileade.
80- Quais os metais que compõe a estátua do sonho do Rei Nabucodonosor?	80- Daniel 2: 31-33 Ouro, Prata, Cobre, Ferro e Argila 
81- Embora os custos por trás de nossa obra de evangelização sejam altos, não solicitamos dinheiro. Como a obra das Testemunhas de Jeová é financiada?	81- Brochura “Quem está fazendo a vontade de Jeová” Lição 24 parágrafo 3 – Donativos Voluntários 
82- De que se alimentava João Batista?	82- Mateus 3: 4 - Gafanhotos e Mel Silvestre
83- Jesus é descendente de qual filho de Noé?	83- Lucas 3:36 – Sem
84- Quem são identificados como o "Trigo e o Joio" na ilustração de Jesus em Mateus 13: 24-30.	84- Livro Organizados Cap. 3 página 17 parágrafo 2 - Joio (cristãos de imitação) por cima do trigo (cristãos ungidos). 
85- O costume pelo qual um homem se casava com a esposa de seu irmão, caso este não tivesse deixado um filho varão era chamado de: (A) Festa do Noivo (B) Casamento de Cunhado (C) Despedida de Solteiro (D) Conduta Insolente (E) NDA	85 – TNM 15 Pagina 1758- Casamento de Cunhado
86- Cidades levitas, onde um homicida não intencional poderia buscar proteção contra o vingador do sangue, chama-se: (A) COLIH (B) Cidades dos Fugitivos (C) Terra Prometida (D) Cidades de Refúgio (E) NDA	86- TNM/15 Pagina 1759- Cidades de Refúgio
87- Leia Mateus 24:45 e responda, sabemos que no início dos últimos dias, esses domésticos, eram os "cristãos ungidos". Depois passaram a incluir, que grupo de pessoas? (A) Corpo Governante (B) 144 Mil (C) Apóstolos (D) Outras Ovelhas (E) Escravo Fiel e Prudente	87- Organizados Cap. 3 Pagina 17 Parágrafo 7 - “outras ovelhas”. 
88-  No futuro, os que compõem o escravo fiel receberão sua recompensa celestial. Junto com os outros membros dos 144 mil, eles compartilharão da autoridade celestial de Cristo. Não haverá mais um escravo fiel e prudente na Terra, mas Jeová e Jesus darão orientações para os súditos terrestres do Reino Messiânico por meio dos que forem designados para servir. Como a bíblia os identifica? (A) Sacerdotes (B) Reis (C) Príncipes (D) Profetas (E) Filhos de Deus	88- Salmos 45: 16 - Como “príncipes”. 
89- Complete a sentença - Na carta de Paulo aos Coríntios, ele advertiu sobre as discórdias que existiam naquela congregação. Ele exortou os irmãos ali a 'falar de acordo' e que precisavam ser "completamente unidos na mesma mente e na mesma maneira de ......? (A) Pensar (B) Agir (C) Tratar (D) Falar (E) Amar	89- 1º Coríntios 1:10 – Pensar
90- A congregação do primeiro século começou com cerca de 120 membros. Em cumprimento de Joel 2:28, 29, o espírito santo foi derramado primeiro sobre esses. Muitas pessoas foram batizadas e passaram a fazer parte da congregação dos gerados pelo espírito. De acordo com o relato bíblico, quantas pessoas foram batizadas naquele dia? (A) 144 mil (B) 5 Mil (C) 3 Mil (D) 70 (E) NDA	90- Atos 2:41 – 3 Mil Pessoas
91- No 1º Século, que medidas foram tomadas para que todas as novas congregações fossem organizadas e dirigidas à maneira de Deus, ou seja, de modo teocrático? Por meio da operação do espírito de Deus, foram providenciados subpastores para cuidar do rebanho. Como esses eram chamados? (A) Discípulos (B) Apóstolos (C) Anciãos (D) Servos Ministeriais (E) Pastores	91- Organizados Cap. 4 Parágrafo 8. Atos 14:23 – Anciãos
92- Em 2016, a sede mundial das Testemunhas de Jeová foi transferida para outra cidade do estado de Nova York. Qual o nome desta cidade? (A) Brooklin (B) Warwick (C) Wallkill (D) Manhattan (E) Patterson	92- https://www.jw.org/pt/noticias/noticias/por-regiao/estados-unidos/predio-towers-brooklyn-vendido/  - Warwick
93- O prédio localizado na Columbia Heights, 107 foi útil para a organização por muitos anos e se tornou um dos locais mais conhecidos do bairro do Brooklyn Heights. No entanto há alguns anos atrás ele foi vendido. Por quantos anos esta propriedade foi usada pela organização? (A) Mais de 20 Anos (B) Mais de 50 Anos (C) Mais de 70 Anos (D) Mais de 100 anos (D) NDA	93- https://www.jw.org/pt/noticias/noticias/por-regiao/estados-unidos/107-columbia-heights-brooklyn-vendido/ - 50 anos
94- As Testemunhas de Jeová, que são muito conhecidas pela sua obra de pregação de casa em casa, agora também estão em locais públicos usando carrinhos de publicações que chamam a atenção. Em que ano esta ferramenta passou a ser usada em Nova York? (A) 2010 (B) 2011 (C) 2012 (D) 2013 (E) 2014	94- https://www.jw.org/pt/testemunhas-de-jeova/atividades/pregacao/carrinhos-de-publicacoes/#?insight[search_id]=fd1aa536-ecd0-4b0b-9c2e-ec275c8504c2&insight[search_result_index]=1 – 2011
95- De acordo com o último livro da Bíblia, o número 666 é o nome da fera, ou besta, de sete cabeças e dez chifres que sai do mar. (Apocalipse 13:1, 17, 18) Essa fera é um símbolo de qual sistema mundial? (A) Político (B) Religioso (C) Comercial (D) Redes de Internet (E) NDA.	95- https://www.jw.org/pt/ensinos-biblicos/perguntas/o-que-significa-666/ - Sistema Político (O nome 666 indica que, do ponto de vista de Deus, esse sistema político é um grande fracasso).
96- A Bíblia, foi escrita por vários homens. Quantos homens participaram na escrita da Bíblia? (A) 12 (B) 40 (C) 66 (D) 70 (E) 144 Mil	96- https://www.jw.org/pt/ensinos-biblicos/perguntas/quem-escreveu-a-biblia/ 40 Homens
97- Quantos são os evangelhos? E quais são os nomes?	97- https://www.jw.org/pt/ensinos-biblicos/perguntas/quando-evangelhos-escritos/ - Mateus, Marcos, João e Lucas (4 Livros) 
98- Leia Êxodo 24:3. Quantas eram essas leis? (A) Mais de 10 (B) Mais de 12 (C) Mais de 100 (D) Mais de 600 (E) Mais de 1000. 	98-  https://www.jw.org/pt/ensinos-biblicos/perguntas/tora-pentateuco/ - A Lei tem mais de 600 regulamentos. 
99- Mencione 06 nomes dos filhos varões de Jacó.	99- Perspicaz Vol. 3 Pagina 466 -  Rubem, Simeão, Levi, Judá, Issacar, Zebulão, José, Benjamim, Dã, Naftali, Gade e Aser
100- Quais são os nomes dos dois netos de Jacó, que também herdaram tribos de Israel?	100- Gênesis 48:5 - Efraim e Manassés.
101- Sob a provisão legal incorporada no pacto da Lei, que previa um rei humano divinamente nomeado, Jeová nomeou um rei, da tribo de Benjamim, mediante o profeta Samuel. Quem foi este homem?	101- 1º Samuel 10:21 – Saul
102- Um total de 20 reis governaram no reino setentrional, entre 997 e 740 AEC, começando com Jeroboão e terminando com? 	102- Perspicaz Vol. 3 Página 399 - Oséias
103- No reino meridional, Judá, 19 reis reinaram entre 997 e 607 AEC, começando com Roboão e terminando com? 	103 – Perspicaz Vol. 3 Página 399 - Zedequias 
104 - Eram consideradas propriedade da coroa, e eram repassadas para o sucessor ao trono, junto com os direitos e as propriedades do rei. Surrupiá-la, equivalia a reivindicar publicamente o trono.  A que se refere? (A) Coroa do Rei, (B) Capa do Rei, (C) Vara do Rei, (D) Concubina do Rei (E) Esposa do Rei.	104 – Perspicaz Vol. 3 Página 400 – Concubinas. Casar-se com uma concubina do rei falecido, ou tomá-la, equivalia a reivindicar publicamente o trono.
105- Alguém por meio de quem se dá a conhecer a vontade e o propósito divinos. Sobre quem estamos nos referindo? Ao: (A) Corpo Governante (B) Profeta (C) Escravo Fiel e Prudente (D) Ungido (E) NDA	105 - Perspicaz Vol. 3 Página 336 – Lucas 1:70 – Profeta 
106- Por quanto anos Israel ficou em exílio no Egito? (A) 100 anos (B) 400 anos (C) 500 anos (D) 600 anos (E) NDA	106 – Genesis 15:13 – 400 anos
107 - Quanto tempo foi necessário que Moisés estivesse no Monte Sinai recebendo as Leis dadas por Jeová? (A) 7 dias (B) 10 dias (C) 40 dias (D) 60 dias (E) NDA	107 – Êxodo 34: 27, 28 – 40 dias e 40 noites
108 - O que representava a cabeça da estátua do sonho de Nabucodonosor? (A) Reino de Deus (B) Império Medo Persa (C) O próprio Nabucodonosor (D) Babilônia (E) NDA	108 – Daniel 2: 37,38 – A cabeça representava o próprio Nabucodonosor
109 - Quem escreveu A Carta de Tiago como um dos livros da Bíblia?	109 – Perspicaz Vol. 3 página 706 – Tiago, meio irmão e discípulo de Jesus Cristo.
110 - Verdadeiro ou Falso? Podemos afirmar que já houve ser humano com 24 dedos ao total?	110 – VERDADEIRO 2ª Samuel 21:20
111- Quem era Sebna? (A) Administrador da Casa de Ezequias (B) Copeiro (C) Eunuco (D) Escravo (E) NDA	111- Isaias 22:15 - Administrador
112- Quando Sebna ficou orgulhoso, o que ele mandou fazer para ele: (A) Estátua (B) Palácio (C) Trono (D) Sepultura (E) Anel	112 – Isaias 22:16 – Sepultura
113 - Antes do rei Davi, Bate-Seba era esposa de quem?	113- 2ª Samuel 11:3 – Urias
114 - Depois de cometer o pecado de adultério, Davi deixou que Jeová o ajudasse a se recuperar em sentido espiritual. Ele aceitou correção por meio de qual profeta?	114 – 2ª Samuel 12:13 – Natã
115- Complete o versículo bíblico de Tiago 5:14"Há alguém doente entre vocês? Que ele chame os anciãos da congregação, e que eles orem por ele, colocando ......nele em nome de Jeová"	115 – Tiago 5:14 – óleo
116- Joel e Abias eram juízes designados em Israel. Mas, eles não seguiam o exemplo de seu pai. Quem era o pai deles? (A) Arão (B) Eli (C) Samuel (D) Davi (E) NDA	116 -  1º Samuel 8: 1
117- Qual o texto do ano para 2017 registrado em Salmos 37:3? (A) Confie em Jeová e evite o mal (B) Procure Jeová e faça o bem (C) Confie em Deus e espere o bem (D) Confie em Jeová e faça o bem (E) Jeová é Grande e não se esquece dos leais.	117- Salmos 37: 3 Confie em Jeová e faça o bem
118- Ele é "a imagem de Deus", Jesus Cristo. Mas "ele" também, quem é este outro?	118- Gênesis 1:26 – O Homem
119- Jesus disse em Lucas 22:42 "Pai, se tu quiseres, afasta de mim este ...."	119- Lucas 22:42 – Cálice
120- Quem escolheu os nomes dos animais? (A) Adão (B) Jesus (C) Jeová (D) Satanás, enquanto anjo bom (E) Abel	120- Gênesis 2:19 O versículo se refere a Adão 
121 - Considere a sua resposta dentre as opções abaixo. Depois que pecaram, Adão e Eva passaram para todos os humanos: (A) Doenças e Morte (B) Sofrimento e Velhice (C) Imperfeição e Morte (D) NDA 	121- Sentinela Edição de Estudo Janeiro 2018 página 14, parágrafo 9 – Imperfeição e Morte
122 - Quando Saul tornou-se rei de Israel, no começo ele era um homem modesto e humilde. Mas, depois ele fez várias coisas arrogantes. Uma vez, os filisteus estavam se preparando para lutar contra os israelitas. O profeta Samuel disse que viria. No entanto, demorou...Saul fez algo que desagradou à Jeová e fez que ele não tinha o direito de fazê-lo. O que ele fez de errado? (A) Implorou ajuda de Jeová (B) Ascendeu incensos para Jeová (C) Ofereceu Sacrifícios para Jeová (D) Fez um acordo de paz com os Filisteus (E) NDA	122 – 1ª Samuel 13: 9 – Ofereceu Sacrifícios 
123 - Responda corretamente. Como se chama o anjo que informou a virgem, que ela seria mãe de Jesus e qual o nome dela?	123 - Lucas 26:1, 2 – Gabriel e Maria
124 - Segundo informou um anjo, qual era o nome da parenta da virgem Maria, que também teria um filho?	124 -  Lucas 26: 36 – Elisabete
125- Como se chama o pai de João Batista?	125 – Lucas 26: 39, 40 Zacarias
126- Antes do nascimento de Cristo, o relato bíblico informa que José viajou com sua esposa para sua cidade Natal na Judeia (à cidade de Davi que se chama Belém). Mas, de onde eles partiram? 	126 – Lucas 2: 4 – Nazaré
127 - Quando Jesus nasceu, não havia alojamento disponíveis, por isso ele nasceu num local inusitado. Mas, onde ele foi deitado por sua mãe assim que nasceu? 	127 – Lucas 2: 7 – Manjedoura
128- Após o nascimento de Jesus Cristo, alguns pastores na região foram avisados por um anjo. Este disse-lhes que daria um sinal para que encontrassem a criança. Qual foi sinal que deveria ser observado pelos pastores?	128 – Lucas 2:12 bebê enrolado em panos e deitado numa manjedoura. 
129 - Antes de batizarem como TJ, os estudantes da bíblia precisam responder duas perguntas na frente de todo mundo. A primeira pergunta é: "A base do sacrifício de Jesus Cristo, você se arrependeu dos seus pecados e se dedicou a Jeová para fazer a vontade dele?" Nas duas perguntas, geralmente as respostas são iguais. Qual é a resposta que todos na assistência estão aguardando ouvir?	129 – SIM
130- Antes de uma pessoa se batizar, se espera que ela faça um gesto pessoal entre ela e Jeová Deus. O que é? (A) Oração de Dedicação (B) Adquiram conhecimento da Bíblia (C) Preguem no Ministério de Campo (D) Participem nas reuniões matriculados na Escola (E) Considere as perguntas para o batismo.	130 – W Edição de Estudo 03/18 página 4, Quadro – Oração de dedicação à Jeová.
131- O apóstolo Pedro comparou o batismo a um objeto. Que objeto é este?	131- 1ª Pedro 3:20, 21 ou W Edição de Estudo 03/18 página 4 parágrafo 3 – Arca
132- Escolha a opção correta. De acordo com o relato de Atos 8: 35, 36 Filipe teve a oportunidade de receber uma orientação angélica, para declarar a as boas novas a respeito de Cristo a um homem etíope. Este Filipe era um dos apóstolos? (   ) Sim    (   ) Não  	132 – Atos 6: 1-6. Não
133 - O tempo passou e Jeová não considerava mais os judeus como nação dedicada a ele, por terem sidos desobedientes. Até que um dia, o próprio Jesus lá do céu falou com um homem judeu. Esse homem aceitou a ajuda de Jesus, recebendo ajuda de outro cristão. Qual o nome deste cristão? 	133 – Atos 9: 17,18 – Ananias
134 - Qual seria a idade considerada "certa" para que a pessoa se batize? (A) Bebê (B) Adolescente (C) Jovem (D) Na melhor idade, 60 anos (E) NDA 	134 – W Edição de Estudo 03/18 página 07, parágrafo 15 - NDA “Não existe nenhuma idade considerada “certa” para a pessoa de batizar.
135 - O relato de Atos 9:15 diz: "Mas o senhor lhe disse: "Vá, porque este homem é para mim um vaso escolhido para levar o meu nome as nações, bem como a reis e aos filhos de israel"". A que homem se aplica este relato?	135 – W Edição de Estudo 03/18 página 13, parágrafo 04 – Paulo
136 - Em que local foi construído o templo de Salomão?	136 - W73 1/7 p. 390 par. 6 “Rei Salomão, que construiu o primeiro templo de sua espécie no monte Moriá, de Jerusalém”. – Jerusalém
137 - Na ocasião do nascimento de Salomão, filho do Rei Davi, Natã disse que ele deveria ser chamado por um nome. Que nome é este? (A) Davi Junior (B) Salomão (C) Jedidias (D) Banerges (E) NDA	137 -  2ª Samuel 12: 24, 25 – Jedidias
138 - "Verdadeiro ou Falso". Davi teve alguns filhos com Bate-Seba, dentre esses filhos, um com o nome de Jesus.	138 – 1ª Crônicas 3:5 – “Os filhos de Davi que nasceram em Jerusalém foram os seguintes: Simeia, Sobabe, Natã e Salomão. A mãe desses quatro era Bate-Seba, filha de Amiel”. – Falso
139 - Na ocasião da inauguração do templo, Salomão ofereceu sacrifícios de bois e ovelhas. Quantos animais ao todo a bíblia informa que foram oferecidos? (A) 55 mil (B) 72 mil (C) 142 mil (D) 205 mil (E) 7 mil	139 – 1º Reis 8:63 - Ele ofereceu 22.000 bois e 120.000 ovelhas = 142 mil
140 -Uma das pessoas visitantes mais distintas procedente duma terra estrangeira para ver a glória e as riquezas de Salomão foi: (A) Cleópatra a rainha do Egito (B) A Rainha de Sabá (C) Herodes Ântipas (D) Maria Madalena (E) NDA	140 – 1º Reis 10:1, 2 - A rainha de Sabá.
141 - Não confunda a resposta. Por dedução, quantas vezes Salomão se casou? (A) 100 (B) 300 (C) 500 (D) 700 (E) 1.000 	141 – 1º Reis 11:3 - 700 vezes. 
142 - Verdadeiro ou Falso: A renda anual de Salomão em ouro chegava a ser: 666 talentos.	142 – 1º Reis 10:14 - Chegava a 666 talentos – Verdadeiro
