1- O que se refere a palavra pentateuco?	1- it-3 p. 223 / Pentateuco: refere-se aos primeiros cinco livros da Bíblia: Gênesis, Êxodo, Levítico, Números e Deuteronômio.	Você apoiou a designação de limpeza do Salão do Reino. PARABÊNS, AVANCE 02 CASAS !!!
12- Quantos animais de cada espécie Noé colocou na Arca?	12- Genesis 7:2 De cada tipo de animal puro, 7 e, de cada animal impuro apenas 2.	Você sempre entrega seu relatório de campo fora da data. O supte de grupo já não sabe o que dizer para te ajudar, por favor RECUE 02 CASAS.
13- O que significa a palavra Genesis?	13- GÊNESIS” significa “origem” ou “nascimento” / w04 1/1 p. 28 	Você faltou a sexta feira do congresso regional !!! O que houve, teve medo de pedir para o chefe? Que pena, DESCONTE 05 CASAS do seu progresso e medite se valeu a pena.
14- Na época da celebração, este texto bíblico é lido varias vezes. Então, o que diz em Lucas 22:19?	14- Lucas 22:19 Ele pegou também um pão, deu graças, partiu-o e deu a eles, dizendo: “Isto representa o meu corpo, que será dado em benefício de vocês. Persistam em fazer isso em memória de mim.”	Você se programou e assistiu aos 03 dias de congresso !!! Que bom que você teve coragem e não cedeu a pressão do chefe , por isso AVANCE 03 CASAS rumo ao Novo Mundo.
15-  Responda completamente a seguinte pergunta: Pedro decepou a orelha de quem e qual era o seu nome?	15- João 8:10 – Escravo do sumo sacerdote e seu nome era Malco.	Nos últimos tempos você tem cedido a pressão dos colegas. Não se esqueça, "más companhias, estragam bons hábitos" e trás péssimas consequências, como por exemplo RECUAR 03 CASAS.
16- Como se chamava o sogro de Jacó? 	16 – Genesis 29:16 – Labão	Você tem sido um excelente exemplo de lealdade a Jeová. E mesmo com forte pressão dos colegas de trabalho, você tem dado provas de integridade. Continue assim e JOGUE OUTRA VEZ.
17- Quem escolheu os nomes dos animais?	17-  Genesis 2:20, Adão	Você tem o cartão diretrizes devidamente preenchido? Sim? Que ótimo, AVANCE 01 CASA e boa saúde para vós !
18- Os animais terrestres foram criados em qual, dos seis dias criativos?	18 – Genesis 1:23-25, no 5º dia	Por não manter a vigilância, ignorando orientações dos anciãos e dos conselhos da bíblia, as consequencias só poderão ser desastrosas. Como por exemplo FICAR 01 RODADA SEM JOGAR.
19- Responda corretamenre conforme o relato bíblico, "quem guerreou contra o dragão em apocalipse"?	19 – Apocalipse 12:7, Miguel	Puxa, aconteceu um imprevisto e você não tem o cartão diretrizes devidamente preenchido. E agora vai RECUAR 03 CASAS.
20- O que significa a palavra "amém"?	20 - it-1 p. 106 Amém o significado é “assim seja”, ou “certamente”. 	Você sempre apoiou a manutenção do Salão do Reino. Jeová nunca se esquece do que fazemos de bom, por isso AVANCE 02 CASAS.
21- Quem foram Beltessazar, Misael, Azarias e Hananias?	21- Daniel 1:7, Beltessazar, Hananias, Misael e Azarias foram os 4 jovens hebreus que foram levados cativos para babilônia	Outra vez, você prometeu, mas furou no dia da manutênção do Salão de Assembléias. Sendo assim, RECUE 02 CASAS.
22- Sabemos que Cristo foi questionado pelos fariseus porque seus discípulos arrancaram algumas espigas do campo e comeram num dia de Sábado. O que mais Jesus fez num sábado que também foi contestado pelos fariseus? Batizou os discípulos; Bebeu vinho; Foi a casa de um cobrador de impostos; Ressucitou a esposa de um soldado egípcio; Curou uma pessoa.	22- Mateus 12:9-14 Curou a mão atrofiada de um homem.	Chegando cedo as reuniões congregacionais, você aproveita o intercâmbio de encorajamento com os outros irmãos e dá boas vindas aos convidados. Devido a isso, AVANCE 01 CASA
23- De acordo com o relato bíblico, mencione dentre os 12 apóstolos iniciais aqueles com os nomes que começam com a letra T? Dica, são 4 apóstolos.	23- Mateus 10:2-4 Tiago filho de Zebedeu, Tomé, Tiago filho de Alfeu e Tadeu	Um pecado sério requer uma comissão. A disciplina e restrições de alguns privilégios podem fazer com que o indisposto melhore, RECUE 8 CASAS E FIQUE 01 RODADA SEM JOGAR
24- Qual o nome do Rei de Babilônia que viu as escritas na parede? Nabocudonosor, Assuero, Dario, Belsazar, Alexandre o Grande	24- Daniel 5:1-5 Belsazar	A falta de arrependimento levou a alguns a perderem a sua espiritualidade e a relação com Jeová. Reflita sobre o gravidade enquanto RECUE 15 CASAS E FIQUE 2 RODADAS SEM JOGAR.
25- Ao se recusarem comer das iguarias do rei babilônico, os jovens hebreus propuseram uma dieta alimentar por quantos dias? A- 7dias, B- 10 dias, C-12 dias D-30 dias E-90dias	25- Daniel 1:14 por 10 dias	Chegou a semana da visita e o viajante notou o seu progresso espiritual. Mas se você aceitar esta designação, poderá escolher AVANÇAR 03 CASAS OU JOGAR OUTRA VEZ.
26- Qual a cidade que Jesus nasceu?	26- Mateus 2:1 Belém (da Judeia) ou Belem Efrata	Desqualificação de privilégio infelizmente pode ocorrer. O refinamento é preciso, além de ser muito vantajoso. RECUE 06 CASAS
27- Qual o nome do deserto em que João Batista foi pregar: A - Deserto do Sinai, B - Deserto da Judeia, C - Saara, D - Deserto de Jericó, E-Deserto de Gobi	27- Mateus 3:1 Deserto da Judeia	
28- De acordo com o relato bíblico, aos 40 anos Moisés teve que fugir de Faraó, ele foi para qual terra? A- Midiã, B- Canaã, C- Egito, C-Babilônia, D-Harã, E-Ur dos Caldeus	28- Êxodo 2:15 Midiã	
29- Preste atenção na pergunta e responda com a opção correta: Gérson, foi filho de quem? 3º Filho de Abraão, Filho de Davi, Filho de Moisés, Um dos Filhos de Samuel,  Um dos Filhos de Eli	29- Êxodo 2:21,22 Gérson, filho de Moises com Zípora	
30- A pedido de Jeová, qual foi o 1º milagre que Arão e Moisés fizeram na presença de Faraó?	30- Êxodo 7:8-11 Transformou o bastão numa cobra	
31-Qual a base bíblica em que Jeová identifica seus servos como suas Testemunhas? 	31- Isaias 43:10-12 "Vocês são minhas Testemunhas", diz Jeová	
32- Nas escrituras, quando a palavra "Sepultura" o que significa quando a palavra está escrita com "S" maíusculo? 	32- De acordo com a Biblioteca ON LINE Sepultura : Quando a palavra é grafada em letras minúsculas, refere-se ao espaço físico onde alguém é sepultado. Quando se usa inicial maiúscula, refere-se à sepultura comum da humanidade. Os termos correspondentes são “Seol”, em hebraico, e “Hades”, em grego. É descrita na Bíblia como um lugar simbólico ou uma condição em que não há nenhuma atividade nem consciência. — Gên 47:30; Ec 9:10; At 2:31.	
33- O que significa o nome Jeová?	33- TNM 2015 1799. Eu me tornarei o que eu decidir me tornar. NOTA : O significado do nome Jeová não se limita ao sentido transmitido pelo verbo relacionado encontrado em Êxodo 3:14, que diz também: “ Eu Mostrarei Ser O Que Eu Mostrar Ser”. Embora o nome Jeová inclua essa ideia, não está limitado ao que ele decide se tornar. O nome Jeová inclui também a ideia de que ele causa, ou faz acontecer, o que ele decidir em relação à sua criação e ao cumprimento de seu propósito.	
34- Mencione 3 recursos contidos da Tradução do Novo Mundo Revisada 2015	34- Veja Apêndices (Acontecimentos da Vida Terrestre de Jesus, Mapas, Tabelas, Calendário Hebraico, Tabernáculo, Reino de Davi e Salomão, Templo Construído por Salomão, Potências Mundiais, Medidas/Pesos/Dinheiro). 	
35- Antes da revista A Sentinela ser publicada, C. T. Russell começou a publicar a "A Torre de Vigia de Sião e Arauto da Presença de Cristo"). Em que ano, essa revista surgiu? 1879, 1889, 1899, 1909, 1919	35- Em julho de1879,      (https://wol.jw.org/pt/wol/d/r5/lpt/301975002?q=Torre+de+Vigia&p=par).	
36- A orientação dada por Jeová a Moises e Arão era: (1) Golpeiem o Rochedo; (2) Falem ao Rochedo, ou (3) Toquem no Rochedo 	36- Números 20:7, 8 Falem ao rochedo	
37- Na ocasião da transfiguração, quantos apóstolos estavam com Jesus Cristo, e quem eram?	37- Mateus 17:1, 2 Pedro, Tiago e João	
38- De que material era feito a serpente que Moisés colocou num poste?	38- Números 21: 9 Cobre	
39- Segundo o Livro perspicaz vol.1; O que significa a palavra "Betel"? Deus está aqui, Templo de Deus, Lar de Deus, Casa de Deus, NDA	39- Casa de Deus, Perspicaz vol. 1 pag.348	
40- Atualmente, quantos números da revista Despertai são publicadas por ano?	40- São 03 edições por ano.	
41- Jacó teve doze filhos. Um deles se deitou com a concubina de seu pai. Quem foi esse filho? Rubem, Judá, Zebulão, José, Levi, Benjamim	41- Genesis 35:22 Rubem	
42- Quantos homens foram usados por Jeová para escrever a Bíblia?	42- 40 Homens (secretários) – Fonte Raciocínios a Base das Escrituras pagina 63 – Bíblia	
43- Pense antes de responder, em qual cidade da Cilícia o apóstolo Paulo nasceu? 	43- Atos 21: 39 Tarso	
44- Qual potência mundial estava dominando o mundo na época de Jesus Cristo? 	44- Roma – Fonte Apêndice da TNM B9 pagina 	
45- Quantas cartas e/ou livros inspirados no registro Bíblico, o Apóstolo Paulo escreveu? Fique a vontade para contar nos dedos	45- Total 14 Livros e/ ou cartas – Fonte TNM página 1723	
46- Quem escreveu o livro de Atos?	46- Lucas – Fonte TNM página 1722	
47- Dois escritores da Bíblia, são irmãos de Jesus, quem são eles?	47- Tiago e Judas - Fonte TNM página 1722	
48- Quem foi o escritor bíblico que exercia a profissão de médico?	48- Lucas – Fonte Perspicaz vol. 2 pág 721	
49- Quais os 3 idiomas em que a Bíblia foi originalmente escrita?	49- Hebraico, Aramaico e Grego – Fonte TNM Apêndice A1	
50- Sabemos que Pedro era chamado por 5 nomes pessoais diferentes na Bíblia: Simeão, Pedro, Simão, a combinação Simão Pedro. Porém, Cristo o chamou por outro nome, qual é? 	50- Cefas João 1:42	
51- Os israelitas celebravam 03 festividades, sendo que dessas, 02 serviam para se lembrarem do êxodo do Egito. Qual era o nome dessas?	51- Festividades das Barras e dos Pães sem Fermento – TNM página 1763	
52- Qual apóstolo também era conhecido pelo nome "Boanerges"?	52- João (irmão de Tiago) Marcos 3:17  	
53- Noé usou madeira resinosa para a construção da arca, mas teria de revesti-la por dentro e por fora. Qual o material que ele usou para isso? Alcatrão, Verniz, Resina, Betume, Piche NDA	53- Genesis 6:14 Betume	
54- Complete a frase do Salmo 11:5 "Jeová examina tanto os justos como os ......."	54- Maus – Salmo 11:5	
55- Complete a frase do verso Bíblico Salmo 119:105 "Tua palavra é lâmpada para o meu pé, e luz para......" 	55- ...o meu caminho – Salmo 119:105	
56- Responda por completo a pergunta: "Qual é o texto do ano para 2018, e o que diz nele?	56- Isaías 40:31	
57- Complete o refrão do clipe musical: "Olha aqui! Venha ver, descobrir amigos bons que amam a Jeová. Vem pra cá! Vem sentir como é bom estar aqui........."	57 - .......Hashtag larga o celular! Clipe Musical “Larga o celular”	
58- Qual o nome do primeiro bebê a nascer no mundo?	58- Caim - Genesis 4:1	
59- Complete o refrão deste cântico: "Qual é a sensação de pregar de coração, de fazer o seu melhor a todos ao redor? Deus vai abençoar quem no campo se esforçar, nós queremos instruir a quem Deus atrair. Um sentimento especial, felicidade sem igual! Um sacrifício de louvor..."	59- ...vou dar ao criador – Cântico 176	
60- Quando caiu o dilúvio, Noé fazia aniversário. Quantos anos ele tinha? 300 anos  400 anos  500 anos  600 anos 700 anos	60- 600 anos - Genesis 7:11	
61- No novo manual Melhore Sua Leitura e Ensino, há 20 características de oratória. Dentre elas, "explique por que você leu o texto". Estou certo ou errado?	61- Correto. Ponto 06 Explique por que você leu o texto.	
62- Qual município do Estado de São Paulo, localiza-se a sede nacional das Testemunhas de Jeová no Brasil?	62- Cesário Lange – SP ( https://www.jw.org/pt/testemunhas-de-jeova/escritorios/brasil/)	
63- Preste atenção no que irá responder - De acordo com 1ª Reis 3: 9, qual foi o pedido de Salomão à Jeová, ao receber o reinado? Sabedoria, Coração Obediente, Riquezas, Fidelidade, Permissão para Construir o Templo	63- Um coração obediente para discernir o bem do mal – 1ª Reis 3: 9	
64- Fale exatamente como está escrito. Em Isaias 35:6 a bíblia promete que dentre as bênçãos do reino, "os mancos saltarão como ....."	64- Cervos Isaias 35:6	
65- Cite o nome do descendente de Noé, sobre o qual ele proferiu uma maldição? Jafé, Ninrode, Cã, Canaã, Sem	65- Gênesis 9: 24, 25 Canaã	
66- As Testemunhas de Jeová desenvolveram um sistema de editoração eletrônica multilíngue, como se chama este programa ou sistema? SAC, MAPS, SAP, MEPS, CRC, REC	66- Brochura “Quem está fazendo a vontade de Jeová” Lição 23 , paragrafo 4 – MEPS	
67- De acordo com a Apostila de Maio /18. Provavelmente quais eram as duas moedas que a viúva colocou no cofre do tesouro do templo? (a)dois denários (b) dois dracma (c) dois léptons (d) dois centavos NDA	67- Apostila de Maio/18 pagina 5 – Lépton	
68 - É conhecido como o cabeça da congregação. Quem é? 	68- 1º Coríntios 11:3 Cristo	
69- No dia 24 DE SETEMBRO DE 1994 - Sem realizar julgamento, autoridades prendem Paulos Eyassu, Isaac Mogos e Negede Teklemariam; eles ainda estão na prisão. Em qual país isso aconteceu?	69- https://www.jw.org/pt/noticias/casos-juridicos/por-regiao/eritreia/   - Eritréia	
70- Olha a pegadinha - Na manhã de quarta-feira, 24 de janeiro de 2018, foi anunciado às famílias dos Betéis dos Estados Unidos e do Canadá o novo membro do Corpo Governante. Qual é o seu nome? (A) Guy Pierce (B) Kenneth Cook (C) Stephen Lett 	70- https://www.jw.org/pt/noticias/jw-noticias/por-regiao/mundial/kenneth-cook-corpo-governante/ - Kenneth Cook	
71 - Um pequeno grupo de pessoas que procuravam a verdade percebeu que muitas doutrinas das igrejas não eram bíblicas. Em que ano isso aconteceu? (a) 1870 (b) 1880 (c) 1914 (d)1930  (e) NDA	71- Brochura “Quem está fazendo a vontade de Jeová” Lição 3 parágrafo 2 – 1870	
72- Em 1950 as Testemunhas de Jeová começam a publicar partes de nossa Bíblia que usa a linguagem moderna. Qual é o seu nome?	72- Brochura “Quem está fazendo a vontade de Jeová” Lição 4 parágrafo 1 - Tradução do Novo Mundo	
73- Em quanto tempo o orador deve proferir seu discurso público na reunião de final de semana?	73- Brochura “Quem está fazendo a vontade de Jeová” Lição 7 parágrafo 2 – 30 minutos	
74 - A nossa reunião de meio de semana possuí 3 partes. Quais os nomes dessas?	74- Brochura “Quem está fazendo a vontade de Jeová” Lição 7 parágrafo 3 –  1º Tesouros da Palavra de Deus, 2º Faça Seu Melhor no Ministério e 3º Nossa Vida Cristã.	
75- Depois da morte de Sara, Abraão se casou novamente com sua concubina. Qual o nome de sua nova esposa? Zípora, Quetura, Agar, Suá NDA	75- Genesis 25:1 – 1º Cro 1:32 Quetura	
76 - Esaú trocou a sua primogenitura pelo ensopado de lentilhas e mais o quê? (A) Bolo Redondo (B) Cabrito Cozido (C) Pão (D) Frutas Frescas (E) NDA	76- Gênesis 25:34 – Pão	
77- Qual é o requisito de horas mensais para o pioneiro especial? (A) 90 Horas (B) 100 (C) 130 Horas (D) 150 Horas (E) NDA	77- Brochura “Quem está fazendo a vontade de Jeová” Lição 13 Parágrafo 2 – 130 Horas	
78- O que Jesus utilizou para curar um cego de nascença? (A) Água Benta (B) Vinho e Argila (C) Barro com saliva (D) Espírito Santo (E) Oléo Perfumado	78- João 9:6 - Barro ou Saliva e Lama 	
79- Muitas Testemunhas de Jeová que se tornam missionários fazem um curso de 5 meses em Patterson, Nova York. Qual é o nome desta escola?	79- Brochura “Quem está fazendo a vontade de Jeová” Lição 14 Parágrafo 14 – Escola Bíblica de Gileade da Torre de Vigia, ou Escola de Gileade.	
80- Quais os metais que compõem a estátua do sonho do Rei Nabucodonosor?	80- Daniel 2: 31-33 Ouro, Prata, Cobre, Ferro  ... e Argila 	
81- Embora os custos por trás de nossa obra de evangelização sejam altos, não solicitamos dinheiro. Como a obra das Testemunhas de Jeová é financiada?	81- Brochura “Quem está fazendo a vontade de Jeová” Lição 24 parágrafo 3 – Donativos Voluntários 	
82- De que se alimentava João Batista?	82- Mateus 3: 4 - Gafanhotos e Mel Silvestre	
83- Jesus é descendente de qual filho de Noé?	83- Lucas 3:36 – Sem	
84- Quem são identificados como o "Trigo e o Joio" na ilustração de Jesus em Mateus 13: 24-30.	84- Livro Organizados Cap. 3 página 17 parágrafo 2 - Joio (cristãos de imitação) por cima do trigo (cristãos ungidos). 	
85- O costume pelo qual um homem se casava com a esposa de seu irmão, caso este não tivesse deixado um filho varão era chamado de: (A) Festa do Noivo (B) Casamento de Cunhado (C) Despedida de Solteiro (D) Conduta Insolente (E) NDA	85 – TNM 15 Pagina 1758- Casamento de Cunhado	
86- Cidades levitas, onde um homicida não intencional poderia buscar proteção contra o vingador do sangue, chama-se: (A) COLIH (B) Cidades dos Fugitivos (C) Terra Prometida (D) Cidades de Refúgio (E) NDA	86- TNM/15 Pagina 1759- Cidades de Refúgio	
87- Leia Mateus 24:45 e responda, sabemos que no início dos últimos dias, esses domésticos, eram os "cristãos ungidos". Depois passaram a incluir, que grupo de pessoas? (A) Corpo Governante (B) 144 Mil (C) Apóstolos (D) Outras Ovelhas (E) Escravo Fiel e Prudente	87- Organizados Cap. 3 Pagina 17 Parágrafo 7 - “outras ovelhas”. 	
88-  No futuro, não haverá mais um escravo fiel e prudente na Terra, mas Jeová e Jesus darão orientações para os súditos terrestres do Reino Messiânico por meio dos que forem designados para servir. Como a bíblia os identifica? (A) Sacerdotes (B) Reis (C) Príncipes (D) Profetas (E) Filhos de Deus (F) Anciãos (G) Sub-reis	88- Salmos 45: 16 - Como “príncipes”. 	
89- Complete a sentença - Na carta de Paulo aos Coríntios, ele advertiu sobre as discórdias que existiam naquela congregação. Ele exortou os irmãos ali a 'falar de acordo' e que precisavam ser "completamente unidos na mesma mente e na mesma maneira de ......? (A) Pensar (B) Agir (C) Tratar (D) Falar (E) Amar	89- 1º Coríntios 1:10 – Pensar	
90- A congregação do primeiro século começou com cerca de 120 membros. Muitas pessoas foram batizadas e passaram a fazer parte da congregação dos gerados pelo espírito santo. De acordo com o relato bíblico, quantas pessoas foram batizadas naquele dia? (A) 144 mil (B) 5 Mil (C) 3 Mil (D) 70 (E) NDA	90- Atos 2:41 – 3 Mil Pessoas	
91- No 1º Século, por meio da operação do espírito de Deus, foram providenciados subpastores para cuidar do rebanho. Como esses eram chamados? (A) Discípulos (B) Apóstolos (C) Anciãos (D) Servos Ministeriais (E) Pastores	91- Organizados Cap. 4 Parágrafo 8. Atos 14:23 – Anciãos	
92- Em 2016, a sede mundial das Testemunhas de Jeová foi transferida para outra cidade do estado de Nova York. Qual o nome desta cidade? (A) Brooklin (B) Warwick (C) Wallkill (D) Manhattan (E) Patterson	92- Warwick	
93- O prédio localizado na Columbia Heights, 107 foi útil para a organização por muitos anos e se tornou um dos locais mais conhecidos do bairro do Brooklyn Heights. Por quantos anos esta propriedade foi usada pela organização? (A) Mais de 20 Anos (B) Mais de 50 Anos (C) Mais de 70 Anos (D) Mais de 100 anos (D) NDA	93- 50 anos	
94- As Testemunhas de Jeová, que são muito conhecidas pela sua obra de pregação de casa em casa, agora também estão em locais públicos usando carrinhos de publicações que chamam a atenção. Em que ano esta ferramenta passou a ser usada em Nova York? (A) 2010 (B) 2011 (C) 2012 (D) 2013 (E) 2014	94- 2011	
95- O número 666 é o nome da fera, ou besta. Essa fera representa que parte do sistema mundial? (A) Político (B) Religioso (C) Comercial (D) Redes de Internet (E) NDA.	95- Sistema Político (O nome 666 indica que, do ponto de vista de Deus, esse sistema político é um grande fracasso). 	
96- Verdadeiro ou Falso. O códice de Leningrado é o manuscrito massorético mais antigo. 	96- VERDADEIRO - O Códice de Leningrado, que data de 1008/1009 EC, é o manuscrito massorético completo mais antigo. TNM 2015 pag 1791	
97- Quantos são os evangelhos? E quais são os nomes?	97- Mateus, Marcos, João e Lucas (4 Livros) 	
98- Leia Êxodo 24:3. Quantas eram essas leis? (A) Mais de 10 (B) Mais de 12 (C) Mais de 100 (D) Mais de 600 (E) Mais de 1000. 	98-  A Lei tem mais de 600 regulamentos. 	
99- Mencione 06 nomes dos filhos varões de Jacó.	99- Perspicaz Vol. 3 Pagina 466 -  Rubem, Simeão, Levi, Judá, Issacar, Zebulão, José, Benjamim, Dã, Naftali, Gade e Aser	
100- Quais são os nomes dos dois netos de Jacó, que também herdaram tribos de Israel?	100- Gênesis 48:5 - Efraim e Manassés.	
101- Jeová nomeou um rei, da tribo de Benjamim, mediante o profeta Samuel. Quem foi este homem?	101- 1º Samuel 10:21 – Saul	
102- Quantos reis no reino setentrional, entre 997 e 740 AEC, começando com Jeroboão e terminando com Oséias? 15, 19, 20, 22 	102- Perspicaz Vol. 3 Página 399 - 20 reis	
103- Quantos reis do reino meridional, Judá, reinaram entre 997 e 607 AEC, começando com Roboão e terminando com Zedequias? 15, 19, 20, 22	103 – Perspicaz Vol. 3 Página 399 - 19 reis	
104 - Eram consideradas propriedade da coroa, e eram repassadas para o sucessor ao trono, junto com os direitos e as propriedades do rei. Surrupiá-la, equivalia a reivindicar publicamente o trono.  A que se refere? (A) Coroa do Rei, (B) Capa do Rei, (C) Vara do Rei, (D) Concubina do Rei (E) Esposa do Rei.	104 – Perspicaz Vol. 3 Página 400 – Concubinas. Casar-se com uma concubina do rei falecido, ou tomá-la, equivalia a reivindicar publicamente o trono.	
105- Alguém por meio de quem se dá a conhecer a vontade e o propósito divinos. Sobre quem estamos nos referindo? Ao: (A) Corpo Governante (B) Profeta (C) Escravo Fiel e Prudente (D) Ungido (E) NDA	105 - Perspicaz Vol. 3 Página 336 – Lucas 1:70 – Profeta 	
106- Por quanto anos Israel ficou em exílio no Egito? (A) 100 anos (B) 400 anos (C) 500 anos (D) 600 anos (E) NDA	106 – Genesis 15:13 – 400 anos	
107 - Quanto tempo foi necessário que Moisés estivesse no Monte Sinai recebendo as Leis dadas por Jeová? (A) 7 dias (B) 10 dias (C) 40 dias (D) 60 dias (E) NDA	107 – Êxodo 34: 27, 28 – 40 dias e 40 noites	
108 - O que representava a cabeça da estátua do sonho de Nabucodonosor? (A) Reino de Deus (B) Império Medo Persa (C) O próprio Nabucodonosor (D) Babilônia (E) NDA	108 – Daniel 2: 37,38 – A cabeça representava o próprio Nabucodonosor	
109 - VERDADEIRO OU FALSO? Tiago, irmão de Jesus, escreveu A Carta de Tiago como um dos livros da Bíblia?	109 – VERDADEIRO  - Perspicaz Vol. 3 página 706 – Tiago, meio irmão e discípulo de Jesus Cristo.	
110 - VERDADEIRO OU FALSO? Podemos afirmar que já houve ser humano com 24 dedos ao total?	110 – VERDADEIRO 2ª Samuel 21:20	
111- Quem era Sebna? (A) Administrador da Casa de Ezequias (B) Copeiro (C) Eunuco (D) Escravo (E) NDA	111- Isaias 22:15 - Administrador	
112- Quando Sebna ficou orgulhoso, o que ele mandou fazer para ele: (A) Estátua (B) Palácio (C) Trono (D) Sepultura (E) Anel	112 – Isaias 22:16 – Sepultura	
113 - Antes do rei Davi, Bate-Seba era esposa de quem?	113- 2ª Samuel 11:3 – Urias	
114 - Depois de cometer o pecado de adultério, Davi deixou que Jeová o ajudasse a se recuperar em sentido espiritual. Ele aceitou correção por meio de qual profeta?	114 – 2ª Samuel 12:13 – Natã	
115- Complete o versículo bíblico: "Há alguém doente entre vocês? Que ele chame os anciãos da congregação, e que eles orem por ele, colocando ......nele em nome de Jeová"	115 – Tiago 5:14 – óleo	
116- Joel e Abias eram juízes designados em Israel. Mas, eles não seguiam o exemplo de seu pai. Quem era o pai deles? (A) Arão (B) Eli (C) Samuel (D) Davi (E) NDA	116 -  1º Samuel 8: 1	
117- Qual o texto do ano para 2017 registrado em Salmos 37:3? (A) Confie em Jeová e evite o mal (B) Procure Jeová e faça o bem (C) Confie em Deus e espere o bem (D) Confie em Jeová e faça o bem (E) Jeová é Grande e não se esquece dos leais.	117- Salmos 37: 3 Confie em Jeová e faça o bem	
118- Quantas pessoas morreram com a queda da torre de Siloé? 08, 10, 18, 20, 28 	118 - Lucas 18:04 (18 pessoas)	
119- Jesus disse em Lucas 22:42 "Pai, se tu quiseres, afasta de mim este ...."	119- Lucas 22:42 – Cálice	
120 - Complete o texto bíblico, "No mundo vocês terão......., mas coragem, eu venci o mundo"	120- João 16:33 Tribulação 	
121 - Considere a sua resposta dentre as opções abaixo. Depois que pecaram, Adão e Eva passaram para todos os humanos: (A) Doenças e Morte (B) Sofrimento e Velhice (C) Imperfeição e Morte (D) NDA 	121- Sentinela Edição de Estudo Janeiro 2018 página 14, parágrafo 9 – Imperfeição e Morte	
122 - Dentre vários atos errados que Saul fez, um deles foi algo que desagradou muito à Jeová. Pois ele fez que ele não tinha o direito de fazê-lo. O que ele fez? (A) Consultou uma médium  (B) Ascendeu incensos para Jeová (C) Ofereceu Sacrifícios para Jeová (D) Fez um acordo de paz com os Filisteus (E) NDA	122 – 1ª Samuel 13: 9 – Ofereceu Sacrifícios 	
123 - Responda corretamente. Como se chama o anjo que informou a virgem, que ela seria mãe de Jesus e qual o nome dela?	123 - Lucas 26:1, 2 – Gabriel e Maria	
